iter	Passed	Remaining
0	2	2691
1	6	3181
2	10	3572
3	13	3472
4	16	3299
5	19	3229
6	22	3215
7	25	3141
8	29	3244
9	35	3537
10	40	3661
11	43	3547
12	45	3432
13	47	3341
14	50	3313
15	52	3246
16	55	3201
17	58	3172
18	60	3148
19	63	3123
20	66	3082
21	68	3050
22	70	3006
23	72	2948
24	74	2895
25	75	2846
26	77	2797
27	79	2751
28	80	2709
29	84	2726
30	88	2757
31	90	2732
32	92	2708
33	94	2677
34	95	2642
35	97	2610
36	99	2580
37	100	2550
38	102	2522
39	103	2495
40	105	2469
41	107	2444
42	108	2424
43	110	2402
44	112	2379
45	113	2357
46	115	2336
47	116	2316
48	118	2304
49	120	2285
50	121	2269
51	123	2252
52	125	2236
53	126	2220
54	128	2203
55	129	2188
56	131	2173
57	132	2157
58	134	2144
59	136	2131
60	137	2118
61	139	2105
62	140	2093
63	142	2080
64	143	2068
65	145	2059
66	147	2049
67	148	2040
68	150	2030
69	152	2020
70	153	2009
71	155	1999
72	156	1989
73	158	1979
74	159	1969
75	161	1962
76	162	1953
77	164	1944
78	166	1935
79	167	1928
80	169	1919
81	170	1911
82	172	1904
83	174	1901
84	175	1894
85	177	1887
86	179	1879
87	180	1873
88	182	1867
89	183	1860
90	185	1853
91	187	1846
92	188	1842
93	190	1838
94	192	1832
95	193	1826
96	195	1820
97	197	1815
98	198	1810
99	200	1804
100	201	1797
101	203	1792
102	205	1786
103	206	1780
104	208	1775
105	209	1769
106	211	1765
107	213	1759
108	214	1754
109	216	1751
110	218	1747
111	219	1743
112	221	1742
113	224	1741
114	225	1739
115	227	1736
116	229	1735
117	232	1734
118	233	1731
119	235	1726
120	237	1722
121	239	1725
122	241	1721
123	243	1720
124	245	1719
125	247	1718
126	249	1715
127	251	1710
128	252	1706
129	255	1707
130	256	1703
131	258	1699
132	260	1694
133	261	1690
134	263	1685
135	264	1681
136	266	1677
137	267	1673
138	269	1668
139	271	1664
140	272	1663
141	275	1663
142	277	1661
143	279	1660
144	281	1657
145	282	1653
146	284	1649
147	285	1645
148	287	1641
149	289	1640
150	291	1637
151	292	1633
152	294	1629
153	295	1625
154	297	1622
155	299	1619
156	300	1615
157	302	1612
158	304	1608
159	306	1607
160	308	1605
161	310	1604
162	312	1602
163	313	1599
164	315	1597
165	317	1595
166	319	1594
167	321	1594
168	323	1592
169	325	1589
170	327	1585
171	328	1582
172	330	1578
173	332	1578
174	334	1579
175	337	1582
176	340	1582
177	342	1580
178	343	1577
179	345	1573
180	347	1571
181	349	1568
182	351	1568
183	353	1566
184	354	1563
185	356	1560
186	358	1556
187	359	1553
188	361	1549
189	362	1546
190	364	1543
191	366	1540
192	368	1538
193	370	1537
194	372	1536
195	374	1534
196	375	1532
197	377	1528
198	379	1525
199	380	1523
200	383	1523
201	385	1521
202	386	1518
203	388	1515
204	389	1511
205	391	1508
206	393	1505
207	394	1502
208	396	1500
209	398	1498
210	400	1497
211	402	1496
212	404	1494
213	406	1491
214	407	1488
215	409	1485
216	410	1482
217	412	1480
218	414	1479
219	416	1476
220	418	1473
221	419	1470
222	421	1467
223	422	1464
224	424	1461
225	425	1458
226	427	1456
227	429	1454
228	431	1454
229	434	1453
230	435	1451
231	437	1449
232	439	1446
233	441	1445
234	443	1443
235	445	1442
236	447	1439
237	448	1436
238	450	1433
239	451	1430
240	453	1428
241	455	1425
242	456	1423
243	458	1421
244	460	1418
245	462	1417
246	465	1417
247	467	1416
248	468	1414
249	470	1412
250	472	1411
251	474	1409
252	478	1411
253	480	1410
254	481	1407
255	483	1405
256	486	1405
257	488	1404
258	490	1402
259	492	1402
260	495	1403
261	497	1402
262	499	1400
263	502	1399
264	504	1398
265	506	1396
266	508	1396
267	511	1395
268	512	1393
269	514	1391
270	516	1390
271	518	1388
272	520	1386
273	522	1384
274	525	1385
275	527	1384
276	530	1383
277	532	1382
278	534	1381
279	536	1378
280	538	1378
281	541	1377
282	542	1375
283	544	1373
284	546	1371
285	549	1370
286	550	1368
287	552	1366
288	555	1366
289	558	1366
290	560	1365
291	562	1364
292	564	1361
293	566	1359
294	568	1358
295	570	1357
296	572	1355
297	574	1353
298	575	1350
299	577	1347
300	579	1345
301	580	1342
302	582	1339
303	583	1336
304	585	1334
305	587	1332
306	589	1329
307	590	1327
308	592	1325
309	593	1322
310	595	1319
311	596	1316
312	598	1313
313	600	1311
314	601	1308
315	603	1305
316	604	1303
317	606	1300
318	607	1297
319	609	1294
320	610	1292
321	612	1289
322	614	1287
323	615	1284
324	617	1283
325	619	1280
326	621	1278
327	622	1276
328	624	1273
329	625	1270
330	627	1267
331	628	1265
332	630	1262
333	631	1260
334	633	1257
335	634	1254
336	636	1252
337	637	1249
338	639	1246
339	640	1243
340	642	1241
341	643	1238
342	645	1235
343	646	1233
344	648	1230
345	649	1228
346	651	1225
347	652	1222
348	654	1220
349	655	1217
350	657	1214
351	658	1212
352	660	1209
353	661	1207
354	662	1204
355	664	1202
356	666	1199
357	667	1196
358	668	1194
359	670	1191
360	671	1189
361	673	1186
362	675	1184
363	676	1182
364	677	1179
365	679	1177
366	680	1174
367	682	1172
368	683	1169
369	685	1167
370	687	1164
371	688	1162
372	690	1159
373	691	1157
374	692	1154
375	694	1152
376	695	1150
377	697	1147
378	698	1145
379	700	1142
380	701	1140
381	703	1137
382	704	1135
383	706	1132
384	707	1130
385	709	1128
386	710	1125
387	712	1123
388	713	1120
389	714	1118
390	716	1115
391	717	1113
